Home,Away,Miles,,,,,,
Arsenal,Bolton,212,,,,,,
Arsenal,Everton,208,,,,,,
Arsenal,Hull,182,,,,,,
Arsenal,Middlesbrough,249,,,,,,
Arsenal,Sunderland,271,,,,,,
Arsenal,West Ham,5.4,,,,,,
Arsenal,Aston Villa,114,,,,,,
Arsenal,Chelsea,7.4,,,,,,
Arsenal,Man United,197,,,,,,
Arsenal,Blackburn,222,,,,,,
Arsenal,Fulham,10.1,,,,,,
Arsenal,Liverpool,209,,,,,,
Arsenal,Newcastle,274,,,,,,
Arsenal,Stoke,155,,,,,,
Arsenal,Tottenham,4.5,,,,,,
Arsenal,West Brom,121,,,,,,
Arsenal,Man City,198,,,,,,
Arsenal,Wigan,201,,,,,,
Arsenal,Portsmouth,79.5,,,,,,
Arsenal,Wolves,132,,,,,,
Arsenal,Birmingham,116,,,,,,
Arsenal,Burnley,230,,,,,,
Arsenal,Blackpool,236,,,,,,
Arsenal,QPR,7.7,,,,,,
Arsenal,Swansea,199,,,,,,
Arsenal,Norwich,115,,,,,,
Arsenal,Reading,52,,,,,,
Arsenal,Southampton,81.2,,,,,,
Arsenal,Crystal Palace,12.3,,,,,,
Arsenal,Cardiff,162,,,,,,
Arsenal,Leicester,98.5,,,,,,
Arsenal,Bournemouth,115,,,,,,
Arsenal,Watford,17.9,,,,,,
Arsenal,Brighton,75.7,,,,,,
Arsenal,Huddersfield,187,,,,,,
Arsenal,Sheffield United,157,,,,,,
Arsenal,Leeds,191,,,,,,
Bolton,Everton,23.8,,,,,,
Bolton,Hull,106,,,,,,
Bolton,Middlesbrough,116,,,,,,
Bolton,Sunderland,147,,,,,,
Bolton,West Ham,231,,,,,,
Bolton,Aston Villa,100,,,,,,
Bolton,Chelsea,218,,,,,,
Bolton,Man United,16.5,,,,,,
Bolton,Blackburn,14.9,,,,,,
Bolton,Fulham,217,,,,,,
Bolton,Liverpool,23.9,,,,,,
Bolton,Newcastle,153,,,,,,
Bolton,Stoke,62.8,,,,,,
Bolton,Tottenham,214,,,,,,
Bolton,West Brom,96.2,,,,,,
Bolton,Man City,20.8,,,,,,
Bolton,Wigan,8.4,,,,,,
Bolton,Portsmouth,258,,,,,,
Bolton,Wolves,89.2,,,,,,
Bolton,Birmingham,102,,,,,,
Bolton,Burnley,32.6,,,,,,
Bolton,Blackpool,35.5,,,,,,
Bolton,QPR,212,,,,,,
Bolton,Swansea,241,,,,,,
Bolton,Norwich,221,,,,,,
Bolton,Reading,217,,,,,,
Bolton,Southampton,240,,,,,,
Bolton,Crystal Palace,251,,,,,,
Bolton,Cardiff,204,,,,,,
Bolton,Leicester,125,,,,,,
Bolton,Bournemouth,242,,,,,,
Bolton,Watford,199,,,,,,
Bolton,Brighton,274,,,,,,
Bolton,Huddersfield,38.2,,,,,,
Bolton,Sheffield United,59.1,,,,,,
Bolton,Leeds,50,,,,,,
Everton,Hull,127,,,,,,
Everton,Middlesbrough,145,,,,,,
Everton,Sunderland,170,,,,,,
Everton,West Ham,229,,,,,,
Everton,Aston Villa,98.4,,,,,,
Everton,Chelsea,216,,,,,,
Everton,Man United,32.8,,,,,,
Everton,Blackburn,38.3,,,,,,
Everton,Fulham,215,,,,,,
Everton,Liverpool,0.9,,,,,,
Everton,Newcastle,176,,,,,,
Everton,Stoke,60.3,,,,,,
Everton,Tottenham,212,,,,,,
Everton,West Brom,94.2,,,,,,
Everton,Man City,36.3,,,,,,
Everton,Wigan,17.2,,,,,,
Everton,Portsmouth,256,,,,,,
Everton,Wolves,86.5,,,,,,
Everton,Birmingham,100,,,,,,
Everton,Burnley,50.6,,,,,,
Everton,Blackpool,52.3,,,,,,
Everton,QPR,211,,,,,,
Everton,Swansea,174,,,,,,
Everton,Norwich,244,,,,,,
Everton,Reading,212,,,,,,
Everton,Southampton,238,,,,,,
Everton,Crystal Palace,249,,,,,,
Everton,Cardiff,202,,,,,,
Everton,Leicester,137,,,,,,
Everton,Bournemouth,263,,,,,,
Everton,Watford,197,,,,,,
Everton,Brighton,272,,,,,,
Everton,Huddersfield,61.1,,,,,,
Everton,Sheffield United,79.3,,,,,,
Everton,Leeds,67.2,,,,,,
Hull,Middlesbrough,92,,,,,,
Hull,Sunderland,117,,,,,,
Hull,West Ham,191,,,,,,
Hull,Aston Villa,132,,,,,,
Hull,Chelsea,198,,,,,,
Hull,Man United,103,,,,,,
Hull,Blackburn,111,,,,,,
Hull,Fulham,197,,,,,,
Hull,Liverpool,126,,,,,,
Hull,Newcastle,143,,,,,,
Hull,Stoke,121,,,,,,
Hull,Tottenham,186,,,,,,
Hull,West Brom,141,,,,,,
Hull,Man City,95.1,,,,,,
Hull,Wigan,111,,,,,,
Hull,Portsmouth,258,,,,,,
Hull,Wolves,136,,,,,,
Hull,Birmingham,134,,,,,,
Hull,Burnley,98.7,,,,,,
Hull,Blackpool,138,,,,,,
Hull,QPR,193,,,,,,
Hull,Swansea,284,,,,,,
Hull,Norwich,146,,,,,,
Hull,Reading,228,,,,,,
Hull,Southampton,254,,,,,,
Hull,Crystal Palace,219,,,,,,
Hull,Cardiff,246,,,,,,
Hull,Leicester,97,,,,,,
Hull,Bournemouth,263,,,,,,
Hull,Watford,179,,,,,,
Hull,Brighton,257,,,,,,
Hull,Huddersfield,70.9,,,,,,
Hull,Sheffield United,66.3,,,,,,
Hull,Leeds,60,,,,,,
Middlesbrough,Sunderland,31.8,,,,,,
Middlesbrough,West Ham,252,,,,,,
Middlesbrough,Aston Villa,170,,,,,,
Middlesbrough,Chelsea,256,,,,,,
Middlesbrough,Man United,119,,,,,,
Middlesbrough,Blackburn,99.4,,,,,,
Middlesbrough,Fulham,255,,,,,,
Middlesbrough,Liverpool,137,,,,,,
Middlesbrough,Newcastle,43.5,,,,,,
Middlesbrough,Stoke,164,,,,,,
Middlesbrough,Tottenham,251,,,,,,
Middlesbrough,West Brom,179,,,,,,
Middlesbrough,Man City,112,,,,,,
Middlesbrough,Wigan,119,,,,,,
Middlesbrough,Portsmouth,310,,,,,,
Middlesbrough,Wolves,174,,,,,,
Middlesbrough,Birmingham,172,,,,,,
Middlesbrough,Burnley,87.5,,,,,,
Middlesbrough,Blackpool,155,,,,,,
Middlesbrough,QPR,250,,,,,,
Middlesbrough,Swansea,323,,,,,,
Middlesbrough,Norwich,227,,,,,,
Middlesbrough,Reading,266,,,,,,
Middlesbrough,Southampton,292,,,,,,
Middlesbrough,Crystal Palace,266,,,,,,
Middlesbrough,Cardiff,286,,,,,,
Middlesbrough,Leicester,158,,,,,,
Middlesbrough,Bournemouth,317,,,,,,
Middlesbrough,Watford,236,,,,,,
Middlesbrough,Brighton,315,,,,,,
Middlesbrough,Huddersfield,87.5,,,,,,
Middlesbrough,Sheffield United,101,,,,,,
Middlesbrough,Leeds,72.4,,,,,,
Sunderland,West Ham,277,,,,,,
Sunderland,Aston Villa,200,,,,,,
Sunderland,Chelsea,281,,,,,,
Sunderland,Man United,145,,,,,,
Sunderland,Blackburn,125,,,,,,
Sunderland,Fulham,280,,,,,,
Sunderland,Liverpool,168,,,,,,
Sunderland,Newcastle,15.6,,,,,,
Sunderland,Stoke,189,,,,,,
Sunderland,Tottenham,277,,,,,,
Sunderland,West Brom,207,,,,,,
Sunderland,Man City,137,,,,,,
Sunderland,Wigan,153,,,,,,
Sunderland,Portsmouth,338,,,,,,
Sunderland,Wolves,199,,,,,,
Sunderland,Birmingham,202,,,,,,
Sunderland,Burnley,113,,,,,,
Sunderland,Blackpool,145,,,,,,
Sunderland,QPR,276,,,,,,
Sunderland,Swansea,348,,,,,,
Sunderland,Norwich,253,,,,,,
Sunderland,Reading,291,,,,,,
Sunderland,Southampton,317,,,,,,
Sunderland,Crystal Palace,292,,,,,,
Sunderland,Cardiff,311,,,,,,
Sunderland,Leicester,183,,,,,,
Sunderland,Bournemouth,342,,,,,,
Sunderland,Watford,262,,,,,,
Sunderland,Brighton,340,,,,,,
Sunderland,Huddersfield,113,,,,,,
Sunderland,Sheffield United,126,,,,,,
Sunderland,Leeds,97.8,,,,,,
West Ham,Aston Villa,133,,,,,,
West Ham,Chelsea,10.7,,,,,,
West Ham,Man United,215,,,,,,
West Ham,Blackburn,241,,,,,,
West Ham,Fulham,12.4,,,,,,
West Ham,Liverpool,227,,,,,,
West Ham,Newcastle,283,,,,,,
West Ham,Stoke,173,,,,,,
West Ham,Tottenham,7.2,,,,,,
West Ham,West Brom,140,,,,,,
West Ham,Man City,217,,,,,,
West Ham,Wigan,219,,,,,,
West Ham,Portsmouth,82.3,,,,,,
West Ham,Wolves,30.8,,,,,,
West Ham,Birmingham,134,,,,,,
West Ham,Burnley,248,,,,,,
West Ham,Blackpool,255,,,,,,
West Ham,QPR,12.3,,,,,,
West Ham,Swansea,229,,,,,,
West Ham,Norwich,111,,,,,,
West Ham,Reading,64.4,,,,,,
West Ham,Southampton,88.4,,,,,,
West Ham,Crystal Palace,14.9,,,,,,
West Ham,Cardiff,191,,,,,,
West Ham,Leicester,117,,,,,,
West Ham,Bournemouth,113,,,,,,
West Ham,Watford,30.4,,,,,,
West Ham,Brighton,62.1,,,,,,
West Ham,Huddersfield,206,,,,,,
West Ham,Sheffield United,175,,,,,,
West Ham,Leeds,200,,,,,,
Aston Villa,Chelsea,121,,,,,,
Aston Villa,Man United,85.4,,,,,,
Aston Villa,Blackburn,111,,,,,,
Aston Villa,Fulham,120,,,,,,
Aston Villa,Liverpool,97.3,,,,,,
Aston Villa,Newcastle,205,,,,,,
Aston Villa,Stoke,45.5,,,,,,
Aston Villa,Tottenham,116,,,,,,
Aston Villa,West Brom,4,,,,,,
Aston Villa,Man City,87.1,,,,,,
Aston Villa,Wigan,89.4,,,,,,
Aston Villa,Portsmouth,160,,,,,,
Aston Villa,Wolves,16.8,,,,,,
Aston Villa,Birmingham,3.4,,,,,,
