Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HPA,APA,HPG,APG,HCR,ACR,HP,AP,HSZA,HSZB,HSZC,ASZA,ASZB,ASZC,FTHG_P,FTAG_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-08-09,Aston Villa,Wigan,0,2,A,0,1,A,M Clattenburg,11,14,5,7,15,14,4,6,2,2,0,0,0,0,0,0,23,11,47,53,1,3,7,1,5,8,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-08-09,Blackburn,Man City,0,2,A,0,1,A,M Dean,17,8,9,5,12,9,5,4,2,1,0,0,0,0,0,0,24,12,43.5,56.5,0,10,7,1,4,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-08-09,Bolton,Sunderland,0,1,A,0,1,A,A Marriner,11,20,3,13,16,10,4,7,2,1,0,0,0,0,0,0,21,26,54.3,45.7,1,8,2,2,10,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-08-09,Chelsea,Hull,2,1,H,1,1,D,A Wiley,26,7,12,3,13,15,12,4,1,2,0,0,0,0,0,0,39,16,67.6,32.4,2,10,14,0,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-08-09,Everton,Arsenal,1,6,A,0,3,A,M Halsey,8,15,5,9,11,13,4,9,0,0,0,0,0,0,0,0,17,28,45.7,54.3,1,2,5,2,7,7,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-08-09,Portsmouth,Fulham,0,1,A,0,1,A,M Atkinson,16,9,4,3,11,18,6,4,3,2,0,0,0,0,0,0,27,12,55.1,44.9,1,8,7,1,3,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-08-09,Stoke,Burnley,2,0,H,2,0,H,S Bennett,12,9,5,5,15,10,3,6,2,2,0,0,0,0,0,0,15,33,37.7,62.3,1,6,6,0,5,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-08-09,Wolves,West Ham,0,2,A,0,1,A,C Foy,19,16,11,13,9,5,8,6,0,0,0,0,0,0,0,0,47,19,48.6,51.4,1,7,11,2,9,5,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-08-09,Man United,Birmingham,1,0,H,1,0,H,L Mason,26,6,17,4,13,7,13,2,1,1,0,0,0,0,0,0,34,20,63,37,1,10,16,0,2,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-08-09,Tottenham,Liverpool,2,1,H,1,0,H,P Dowd,17,6,11,3,14,16,6,5,3,3,0,0,0,1,0,1,18,27,47.5,52.5,1,8,9,0,3,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-08-09,Sunderland,Chelsea,1,3,A,1,0,H,S Bennett,4,20,3,9,14,10,1,14,2,2,0,0,0,1,0,1,6,38,26.1,73.9,0,2,2,1,9,10,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-08-09,Wigan,Wolves,0,1,A,0,1,A,M Jones,18,9,5,3,8,21,4,4,0,3,0,0,0,0,0,0,22,14,64.2,35.8,1,11,6,0,5,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-08-09,Birmingham,Portsmouth,1,0,H,0,0,D,L Probert,9,9,5,4,11,20,4,5,0,5,0,0,1,0,1,0,27,13,47.8,52.2,0,3,6,0,2,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-08-09,Burnley,Man United,1,0,H,1,0,H,A Wiley,8,18,2,9,8,12,1,12,2,1,0,0,0,1,0,0,16,39,33.3,66.7,0,4,4,1,10,8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-08-09,Hull,Tottenham,1,5,A,1,3,A,C Foy,9,18,7,12,23,13,6,5,3,2,0,0,0,0,0,0,21,19,41.8,58.2,0,5,4,1,7,10,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-08-09,Liverpool,Stoke,4,0,H,2,0,H,P Walton,18,6,13,3,10,9,11,5,0,1,0,0,0,0,0,0,34,12,75.9,24.1,3,10,5,0,4,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-08-09,Arsenal,Portsmouth,4,1,H,2,1,H,S Bennett,19,9,16,4,9,10,8,4,1,0,0,0,0,0,0,0,25,13,59.5,40.5,2,8,9,1,5,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-08-09,Birmingham,Stoke,0,0,D,0,0,D,C Foy,8,13,6,3,8,13,3,3,0,3,0,0,1,0,1,0,27,13,56.4,43.6,0,2,6,0,3,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-08-09,Hull,Bolton,1,0,H,0,0,D,M Jones,12,20,5,10,19,19,4,12,3,2,0,0,0,0,0,0,14,39,46.6,53.4,1,9,2,3,10,7,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-08-09,Man City,Wolves,1,0,H,1,0,H,L Mason,16,10,11,2,7,11,5,6,0,1,0,0,0,0,0,0,12,25,56.4,43.6,0,10,6,0,6,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-08-09,Sunderland,Blackburn,2,1,H,1,1,D,A Wiley,8,18,5,5,12,14,0,10,2,1,0,0,0,0,0,0,16,19,53.6,46.4,1,2,5,4,6,8,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-08-09,Wigan,Man United,0,5,A,0,0,D,H Webb,16,16,7,13,11,8,3,5,2,2,0,0,0,0,0,0,17,21,48.2,51.8,0,5,11,1,10,6,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-08-09,Burnley,Everton,1,0,H,1,0,H,P Dowd,8,17,4,11,11,13,3,7,1,0,0,0,0,1,0,0,19,30,40.6,59.4,1,6,1,1,6,10,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-08-09,Fulham,Chelsea,0,2,A,0,1,A,A Marriner,4,12,1,4,11,10,4,7,0,0,0,0,0,0,0,0,21,23,39.7,60.3,0,1,3,0,5,7,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-08-09,West Ham,Tottenham,1,2,A,0,0,D,M Clattenburg,17,17,8,10,13,11,4,8,2,1,0,0,0,0,0,0,20,25,46.9,53.1,0,8,9,1,8,9,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-08-09,Liverpool,Aston Villa,1,3,A,0,2,A,M Atkinson,21,7,12,4,15,11,10,4,3,2,0,0,0,1,0,1,37,18,67.4,32.6,4,9,9,1,3,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-08-09,Blackburn,West Ham,0,0,D,0,0,D,P Dowd,19,11,9,5,13,18,5,2,1,3,0,0,0,0,0,0,22,13,46.7,53.3,1,8,10,0,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-08-09,Bolton,Liverpool,2,3,A,1,1,D,A Wiley,8,26,5,14,14,7,5,11,3,1,1,0,0,0,0,0,16,39,22.2,77.8,1,1,6,3,15,9,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-08-09,Chelsea,Burnley,3,0,H,1,0,H,M Clattenburg,27,3,17,0,7,5,10,1,0,1,0,0,0,0,0,0,32,16,60,40,2,13,12,0,1,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-08-09,Man United,Arsenal,2,1,H,0,1,A,M Dean,10,9,4,3,21,15,6,5,3,6,0,0,1,0,1,0,26,28,51.1,48.9,0,6,4,0,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
